rank,title,year,rating,votes,duration,certificate,imdb_url,poster_url
1,The Shawshank Redemption,1994,9.3,3.2M,2h 22m,R,https://www.imdb.com/title/tt0111161/,"https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
2,The Godfather,1972,9.2,2.3M,2h 55m,R,https://www.imdb.com/title/tt0068646/,"https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
3,The Dark Knight,2008,9.1,3.2M,2h 32m,PG-13,https://www.imdb.com/title/tt0468569/,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
4,The Godfather Part II,1974,9.0,1.5M,3h 22m,R,https://www.imdb.com/title/tt0071562/,"https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
5,The Lord of the Rings: The Return of the King,2003,9.0,2.2M,3h 21m,PG-13,https://www.imdb.com/title/tt0167260/,"https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
6,Angry Men,1957,9.0,1M,1h 36m,Approved,https://www.imdb.com/title/tt0050083/,"https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
7,Schindler's List,1993,9.0,1.6M,3h 16m,R,https://www.imdb.com/title/tt0108052/,"https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2.2M,2h 58m,PG-13,https://www.imdb.com/title/tt0120737/,"https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
9,Pulp Fiction,1994,8.8,2.5M,2h 34m,R,https://www.imdb.com/title/tt0110912/,"https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
10,The Lord of the Rings: The Two Towers,2002,8.8,2M,2h 59m,PG-13,https://www.imdb.com/title/tt0167261/,"https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
